NAME,MAKE,MODEL,YEAR,TYPE,COLOR,INTCOLOR,MILES,PRICE,SOURCE
Used 2021 Ford Bronco Badlands,Ford,Bronco,2021,6-Cylinder Turbo,Pink,Black,24290,49250,AUTOTRADER
Used 2022 Subaru Forester Wilderness,Subaru,Forester,2022,4-Cylinder,Green,Gray,10677,32000,AUTOTRADER
Used 2019 Jeep Compass Latitude,Jeep,Compass,2019,4-Cylinder,Black,Black,43988,18700,AUTOTRADER
Certified 2022 Kia Sportage LX,Kia,Sportage,2022,4-Cylinder,Red,Black,13476,19912,AUTOTRADER
Certified 2023 Kia Sportage EX,Kia,Sportage,2023,4-Cylinder,Gray,Black,16921,26995,AUTOTRADER
New 2024 Subaru Outback Limited XT,Subaru,Outback,2024,4-Cylinder Turbo,White,Offwhite,3,39428,AUTOTRADER
Used 2012 Honda Fit Sport,Honda,Fit,2012,4-Cylinder,Black,Black,87489,10384,AUTOTRADER
Used 2021 Nissan Kicks S,Nissan,Kicks,2021,4-Cylinder,Black,Black,9163,17704,AUTOTRADER
Used 2021 Hyundai Kona SE,Hyundai,Kona,2021,4-Cylinder,Red,Unavail,30836,18799,AUTOTRADER
Used 2021 Kia Soul EX,Kia,Soul,2021,4-Cylinder,White,Unavail,10802,19123,AUTOTRADER
Certified 2020 Hyundai Santa Fe SE,Hyundai,Santa Fe,2020,4-Cylinder,Red,Beige,22584,22077,AUTOTRADER
Certified 2020 Hyundai Santa Fe Limited,Hyundai,Santa Fe,2020,4-Cylinder,Black,Black,24731,26176,AUTOTRADER
Used 2020 Chevrolet Traverse LT,Chevrolet,Traverse,2020,6-Cylinder,Gray,Black,52066,26899,AUTOTRADER
Certified 2023 Hyundai Santa Fe SE,Hyundai,Santa Fe,2023,4-Cylinder,Silver,Black,7549,28255,AUTOTRADER
Certified 2023 Genesis G80 2.5T,Genesis,G80,2023,4-Cylinder Turbo,Black,Beige,1208,51008,AUTOTRADER
Used 2018 Lexus ES 350,Lexus,ES 350,2018,6-Cylinder,Black,Gray,57828,23880,AUTOTRADER
Used 2017 Mercedes-Benz E 300 4MATIC,Mercedes-Benz,E 300,2017,4-Cylinder Turbo,Offwhite,Beige,84691,20939,AUTOTRADER
