-,kawasaki ninja 300,"Washington, DC",3550.0
2021 Kawasaki ninja,2021,4500,500
2023 Yamaha yzf,2023,5499,500
2016 Yamaha yzf,2016,3000,4300
2010 Kawasaki ninja,2010,2300,1800
2021 Yamaha yzf,2021,5000,1200
2017 Yamaha yzf-r1,2017,4000,1100
2023 Yamaha yzf,2023,6000,350
2015 Yamaha yzfr,2015,3500,4500
2023 Yamaha yzf,2023,5400,1300
2023 Yamaha mt,2023,8199,500
2015 Yamaha zuma,2015,1900,6700
-,yamaha r3,"Nashville, TN",4057.57
2020 Yamaha yzf,2020,4200,1500
2016 Yamaha yzf,2016,4000,2300
2013 Kawasaki ninja,2013,3000,700
2018 Suzuki gsx,2018,4000,100
2011 Kawasaki ninja,2011,1800,6200
2016 Yamaha yzf,2016,4000,2300
